Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
1786,Editors,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Average,1,3,5,4,1,False,False,False,False,False,False,1,5,3,5,5,False,True,True,True,True,True,True,FALSE,
1782,Editors,"Develop story or content ideas, considering reader or audience appeal.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,4,5,5,4,False,False,False,False,False,False,1,1,5,5,5,False,False,True,False,True,True,True,FALSE,this task requires lived human experiences
1776,Editors,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,3,2,4,4,1,True,False,False,True,False,False,1,5,2,5,4,False,False,False,True,True,True,True,,
1783,Editors,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Average,5,4,3,3,1,True,True,False,False,False,True,1,2,3,1,4,False,True,False,True,True,True,False,,
21000,Editors,"Write text, such as stories, articles, editorials, or newsletters.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,4,5,5,4,False,False,False,False,False,False,1,1,3,5,3,False,False,True,True,True,True,True,FALSE,
1779,Editors,"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,5,5,4,4,False,False,False,False,False,False,1,5,5,5,5,False,True,True,True,True,True,True,FALSE,
1781,Editors,Review and approve proofs submitted by composing room prior to publication production.,32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Average,3,3,4,1,1,True,True,False,True,False,True,1,1,1,1,2,False,False,False,False,False,False,False,,FALSE
1785,Editors,"Assign topics, events and stories to individual writers or reporters for coverage.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,1,2,4,3,2,False,False,False,False,False,False,1,5,4,5,5,False,True,True,True,True,True,True,FALSE,No human wants AI to assign it work
19004,Computer Network Support Specialists,Back up network data.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,2,1,1,4,1,False,False,False,False,False,False,2,2,2,3,2,False,False,False,False,False,False,False,FALSE,FALSE
18991,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,3,2,3,3,2,True,False,False,False,False,False,2,2,2,3,3,False,True,False,False,False,False,False,,
18993,Computer Network Support Specialists,Document network support activities.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,4,3,2,2,1,True,False,False,False,False,False,1,4,1,3,2,False,False,False,False,False,False,False,,FALSE
19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,1,3,3,4,4,False,False,False,False,False,False,1,4,5,5,4,False,True,True,True,False,False,False,FALSE,
19011,Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,3,2,1,1,1,False,True,False,False,False,False,1,2,2,2,2,False,False,False,False,False,False,False,,FALSE
21049,Computer Programmers,Develop Web sites.,788a168b-6694-46f6-8493-e757b2f715b3,2025/3/23,Average,4,1,3,4,2,False,True,False,False,False,False,2,3,3,3,4,False,True,True,False,False,False,False,,
21520,Accountants and Auditors,Report to management regarding the finances of establishment.,9aef09c6-ccfd-4dc0-a578-1ae21f7450a1,2025/1/21,Expert,4,1,3,3,4,False,False,False,False,False,True,3,4,3,5,5,True,True,True,True,True,True,True,,
16157,Information Technology Project Managers,Monitor or track project milestones and deliverables.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,2,4,1,2,True,True,False,False,False,False,1,3,2,3,3,False,False,False,True,True,True,True,,
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,1,3,1,3,False,False,False,False,False,False,1,4,3,4,2,False,False,False,False,False,False,False,FALSE,FALSE
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,5,2,5,False,False,False,False,False,False,2,3,4,4,4,True,True,True,True,True,True,True,FALSE,
11241,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Maintain customer records, using automated systems.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,1,1,True,False,False,False,False,False,2,2,1,4,5,False,False,False,True,False,False,False,,
11252,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Complete expense reports, sales reports, or other paperwork.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Average,5,2,2,1,2,False,False,False,False,True,False,1,2,1,5,5,False,False,False,False,True,True,False,,
11245,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Collaborate with colleagues to exchange information, such as selling strategies or marketing information.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,4,5,3,3,True,False,False,False,False,False,1,5,3,3,1,False,False,False,False,False,False,False,,FALSE
20620,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Verify customer credit ratings.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,1,1,True,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,2,4,4,3,3,False,False,False,False,False,False,1,4,4,5,2,False,False,False,False,False,False,False,FALSE,FALSE
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,3,2,4,1,2,False,False,False,True,False,False,1,5,2,4,3,False,False,True,True,False,False,False,,
18859,Human Resources Specialists,Hire employees and process hiring-related paperwork.,db5513b8-b965-4d60-9d5b-48e5c18820b8,2025/2/25,Expert,1,1,2,5,3,False,False,False,False,False,False,4,5,4,4,4,True,True,True,True,True,False,False,FALSE,
20284,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025/2/25,Average,3,2,3,4,3,True,False,False,False,False,False,5,2,3,4,5,True,False,False,False,False,False,False,,
2805,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Conduct searches to find needed information, using such sources as the Internet.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025/2/25,Average,3,2,3,4,5,False,False,True,False,False,False,1,1,1,2,2,False,False,False,False,False,False,False,,FALSE
2794,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Open, read, route, and distribute incoming mail or other materials and answer routine letters.",16f45488-9af7-4bfa-8bb8-524f52e03435,2025/2/25,Expert,5,1,5,4,3,True,False,False,False,False,False,5,1,1,1,1,False,False,False,False,False,False,False,,FALSE
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",dc151eda-cd36-4aa0-be0d-4e9de0ab3cb9,2025/2/25,Average,1,1,4,3,3,False,False,False,False,False,False,2,2,1,3,3,False,False,True,False,True,True,False,FALSE,
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Average,3,2,1,1,3,True,True,True,False,False,False,1,3,4,3,3,False,False,False,True,True,False,True,,
1283,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,2025/2/25,Expert,1,4,4,1,4,False,False,False,False,False,False,1,5,4,4,5,False,True,True,True,True,True,True,FALSE,
18940,Credit Counselors,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",0b466480-1875-4e35-971f-7ad7ecdae8eb,2025/2/25,Expert,2,1,2,1,3,False,False,False,False,False,False,1,4,4,4,4,False,True,True,True,True,True,True,FALSE,
15612,Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Expert,5,1,1,5,3,True,True,True,False,False,True,1,4,1,2,2,False,False,False,False,False,False,False,it would allow me to focus on actual patient care. I would love to have epic that has developed the MY chart computer charting system incorpate a AI to do dicatation to the chart so that instead of typing I could talk to it to chart while actually actively doing the care on the patient and have more time for the much needed patients because in the hospitals most are under staffed and nurse are caring for more patients than they should so often when I was in the hospital setting I would get stuck after my shift at work charting for hours ,FALSE
15594,Clinical Research Coordinators,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Expert,3,1,5,1,2,True,False,True,True,True,True,3,4,4,5,5,False,True,True,True,True,True,True,,legal concerns if not documented correctly and some situations are extremely random and not normal things so hard to intially put a dual legal ai and medical AI together to just do this alone but they would be of excellent value and reference to the nurses and doctors that have to make these reports
15607,Clinical Research Coordinators,Communicate with laboratories or investigators regarding laboratory findings.,494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Average,3,1,5,1,2,True,True,True,False,False,True,2,5,3,5,4,False,False,True,True,True,True,True,,
15583,Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",494624da-6ebf-43d4-a843-9114931430ed,2025/2/25,Average,4,1,5,1,1,True,False,True,True,False,True,3,4,2,5,5,True,True,True,True,True,True,True,,the education is for the nurse and if the AI does the work and learning the nurse doesn't learn and so it would be a team effort
1780,Editors,"Verify facts, dates, and statistics, using standard reference sources.",d4744b6c-d5dd-4cee-9f97-c068e513cde5,2025/2/25,Expert,1,3,5,5,4,False,False,False,False,False,False,1,3,2,3,3,False,False,True,True,True,False,False,FALSE,
1783,Editors,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",d4744b6c-d5dd-4cee-9f97-c068e513cde5,2025/2/25,Expert,1,4,5,5,5,False,False,False,False,False,False,4,5,4,5,5,True,False,True,True,True,True,False,FALSE,
1781,Editors,Review and approve proofs submitted by composing room prior to publication production.,d4744b6c-d5dd-4cee-9f97-c068e513cde5,2025/2/25,Expert,2,2,5,5,5,False,False,False,False,False,False,1,5,3,5,5,False,False,True,True,False,False,False,FALSE,
23313,Insurance Claims and Policy Processing Clerks,"Prepare insurance claim forms or related documents, and review them for completeness.",a298e4c0-1fb5-470c-afe0-c0f34ea9798e,2025/2/25,Average,3,4,3,1,4,True,False,True,True,False,False,4,2,3,3,4,True,False,False,True,True,False,True,,
23334,Insurance Claims and Policy Processing Clerks,"Compose business correspondence for supervisors, managers, and professionals.",a298e4c0-1fb5-470c-afe0-c0f34ea9798e,2025/2/25,Average,4,4,2,3,2,True,False,True,True,False,False,4,2,3,2,4,True,False,True,True,False,False,False,,
1777,Editors,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",ccd96e0f-ab6a-4bd9-bb4c-60d1c1b0d4d4,2025/2/25,Average,1,4,5,5,4,False,False,False,False,False,False,1,4,4,4,5,False,True,True,True,True,True,True,FALSE,
1786,Editors,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",ccd96e0f-ab6a-4bd9-bb4c-60d1c1b0d4d4,2025/2/25,Average,1,4,5,5,4,False,False,False,False,False,False,1,5,5,5,5,False,True,True,True,True,True,True,FALSE,
1776,Editors,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",ccd96e0f-ab6a-4bd9-bb4c-60d1c1b0d4d4,2025/2/25,Average,1,4,5,5,4,False,False,False,False,False,False,1,4,5,5,5,False,True,True,True,True,True,True,FALSE,
16152,Information Technology Project Managers,"Submit project deliverables, ensuring adherence to quality standards.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,1,3,1,1,True,True,False,False,False,False,1,3,2,4,3,False,True,True,True,True,True,False,,
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Novice,1,1,3,1,2,False,False,False,False,False,False,1,4,4,4,5,False,True,True,True,True,True,True,FALSE,
16168,Information Technology Project Managers,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,4,1,2,False,False,False,False,False,False,1,4,2,4,4,False,False,True,True,True,True,True,FALSE,
20608,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare and submit sales contracts for orders.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,3,1,True,False,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
11237,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Answer customers' questions about products, prices, availability, or credit terms.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,1,1,2,1,4,False,False,False,False,False,False,1,5,1,5,2,False,False,False,False,False,False,False,FALSE,FALSE
11249,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.",1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,1,1,1,1,1,False,False,False,False,False,False,3,1,3,3,5,False,True,True,True,True,False,False,FALSE,
20619,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Verify accuracy of materials lists.,1e0f35ea-7f4c-49f2-bb5a-d1e4fecc221a,2025/1/21,Expert,5,1,1,1,1,True,True,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False,,FALSE
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,3,1,2,1,2,True,True,False,False,False,False,1,5,4,5,2,False,False,False,False,False,False,False,,FALSE
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,5,2,3,1,1,True,True,False,True,False,False,1,3,4,3,2,False,False,False,False,False,False,False,,FALSE
14683,Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,2,1,3,1,3,False,False,False,False,False,False,3,1,2,5,4,True,False,True,False,False,False,False,FALSE,
14671,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Average,2,1,3,3,3,False,False,False,False,False,False,1,1,2,4,2,False,False,False,False,False,False,False,FALSE,FALSE
20608,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare and submit sales contracts for orders.,52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Average,1,5,3,1,3,False,False,False,False,False,False,1,3,3,3,3,False,False,False,False,True,True,False,FALSE,
11237,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Answer customers' questions about products, prices, availability, or credit terms.",52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Expert,4,4,3,4,5,False,True,True,False,False,False,4,4,4,5,4,False,False,False,False,False,True,False,,
11238,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Quote prices, credit terms, or other bid specifications.",52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Expert,4,4,4,4,4,False,False,False,False,False,False,3,4,4,3,4,False,False,False,True,False,False,False,,
11246,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare sales presentations or proposals to explain product specifications or applications.,52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Average,4,3,4,3,4,False,False,False,False,False,True,1,4,2,3,4,False,False,False,False,True,False,False,,
11252,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Complete expense reports, sales reports, or other paperwork.",52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Expert,3,3,3,3,3,False,False,False,False,False,False,3,3,2,3,4,False,False,False,False,True,False,True,,
11249,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.",52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Novice,1,3,3,3,2,False,False,False,False,False,False,2,3,2,3,4,False,False,False,False,False,True,False,FALSE,
20619,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Verify accuracy of materials lists.,52cdb85b-5307-450a-ac44-b51194f76036,2025/1/21,Novice,1,3,3,1,3,False,False,False,False,False,False,1,3,2,3,2,False,False,False,False,False,False,False,FALSE,FALSE
20608,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare and submit sales contracts for orders.,ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,3,2,3,2,2,True,True,False,False,False,True,1,3,1,4,2,False,False,False,False,False,False,False,,FALSE
11241,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Maintain customer records, using automated systems.",ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,4,2,3,2,2,True,True,False,False,False,True,2,3,1,3,2,False,False,False,False,False,False,False,,FALSE
11237,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Answer customers' questions about products, prices, availability, or credit terms.",ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,1,3,5,4,5,False,False,False,False,False,False,2,5,2,5,3,False,True,True,True,False,True,True,FALSE,
11238,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Quote prices, credit terms, or other bid specifications.",ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,3,3,5,2,2,True,True,False,False,False,True,2,3,2,3,2,False,False,False,False,False,False,False,,FALSE
11246,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare sales presentations or proposals to explain product specifications or applications.,ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,2,2,5,3,5,False,False,False,False,False,False,2,3,3,5,4,False,True,True,True,False,True,True,FALSE,
11252,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Complete expense reports, sales reports, or other paperwork.",ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Average,4,1,2,2,1,True,True,False,False,False,True,1,1,1,3,2,False,False,False,False,False,False,False,,FALSE
11249,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.",ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,3,2,3,3,2,True,True,False,False,False,True,1,3,1,3,2,False,False,False,False,False,False,False,,FALSE
11245,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Collaborate with colleagues to exchange information, such as selling strategies or marketing information.",ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,1,1,4,3,4,False,False,False,False,False,False,1,5,1,4,4,False,False,True,True,False,True,False,FALSE,
19826,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Present information to customers about the energy efficiency or environmental impact of scientific or technical products.,ac02d2a0-14ec-4a40-8990-87dcb3c84091,2025/1/21,Expert,3,1,4,3,2,True,True,False,False,False,True,1,4,1,4,3,False,False,False,False,False,False,False,,
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Expert,3,2,3,2,3,False,False,True,True,False,False,4,2,1,4,2,False,False,False,False,False,False,False,,FALSE
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Average,5,3,4,4,2,False,True,False,False,True,False,3,4,3,2,3,False,True,False,True,False,True,False,,
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,2,1,False,True,False,True,False,False,3,4,2,3,3,True,True,False,False,False,True,False,,
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Average,3,3,4,4,2,False,False,False,False,False,False,4,4,2,2,4,False,False,False,True,False,True,False,,
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,4,2,False,False,False,True,False,True,4,2,2,3,3,False,True,True,True,False,False,False,,
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,e2d91683-e436-429f-aaa2-ba6c47d0b288,2025/1/21,Novice,4,4,3,3,4,False,False,False,False,True,False,4,3,1,4,4,False,False,False,False,False,False,False,,
20608,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Prepare and submit sales contracts for orders.,3f8f3797-b74f-44b7-a9d7-9b15ab5b65a9,2025/1/22,Average,5,3,4,1,4,True,False,True,False,False,False,4,5,4,4,4,True,False,False,False,True,False,True,,
11241,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Maintain customer records, using automated systems.",3f8f3797-b74f-44b7-a9d7-9b15ab5b65a9,2025/1/22,Average,4,4,3,1,3,True,False,True,False,False,True,4,2,4,3,2,False,False,False,False,False,False,False,,FALSE
