O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-3031.00,Financial Managers,21317,"Examine, evaluate, or process loan applications.",Supplemental,08/2022,5.0,5.0,3.98,44.6,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21314,Prepare operational or risk reports for management analysis.,Supplemental,08/2022,3.0,3.0,3.65,43.32,180470.0,818620.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3031.00,Financial Managers,21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Supplemental,08/2022,5.0,5.0,3.61,45.61,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21329,Review reports of securities transactions or price lists to analyze market conditions.,Supplemental,08/2022,3.0,3.0,3.18,25.66,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.01,Treasurers and Controllers,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Core,08/2020,5.0,5.0,4.52,96.0,,,"['Making Decisions and Solving Problems', 'Providing Consultation and Advice to Others']","['4.A.2.b.1', '4.A.4.b.6']"
11-3031.01,Treasurers and Controllers,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",Core,08/2020,5.0,5.0,4.4,100.0,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3031.01,Treasurers and Controllers,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",Core,08/2020,5.0,5.0,4.33,96.0,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
11-3031.01,Treasurers and Controllers,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",Core,08/2020,3.0,3.0,4.22,92.0,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3031.01,Treasurers and Controllers,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Core,08/2020,3.0,3.0,4.08,96.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.01,Treasurers and Controllers,8873,"Compute, withhold, and account for all payroll deductions.",Supplemental,08/2020,3.0,3.0,4.0,28.0,,,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
11-3031.03,Investment Fund Managers,15679,Select specific investments or investment mixes for purchase by an investment fund.,Core,07/2014,5.0,5.0,4.61,86.1,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3031.03,Investment Fund Managers,15669,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,Core,07/2014,5.0,5.0,4.56,98.06,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3031.03,Investment Fund Managers,15676,Select or direct the execution of trades.,Core,07/2014,5.0,5.0,4.48,74.46,,,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']"
11-3031.03,Investment Fund Managers,15667,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",Core,07/2014,5.0,5.0,4.38,89.62,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.03,Investment Fund Managers,15668,"Present investment information, such as product risks, fees, or fund performance statistics.",Core,07/2014,3.0,3.0,4.23,92.21,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
11-3031.03,Investment Fund Managers,15664,"Develop, implement, or monitor security valuation policies.",Core,07/2014,5.0,5.0,4.22,88.32,,,"['Monitoring Processes, Materials, or Surroundings', 'Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.1.a.2', '4.A.2.b.1', '4.A.2.b.4']"
11-3031.03,Investment Fund Managers,15670,Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.,Core,07/2014,3.0,3.0,3.72,70.97,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.01,Quality Control Systems Managers,15415,Review and update standard operating procedures or quality assurance manuals.,Core,08/2022,3.0,3.0,4.35,98.75,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.01,Quality Control Systems Managers,15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,Core,08/2022,5.0,5.0,4.33,93.61,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.01,Quality Control Systems Managers,15414,Review quality documentation necessary for regulatory submissions and inspections.,Core,08/2022,5.0,5.0,4.24,98.78,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-3051.01,Quality Control Systems Managers,15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,Core,08/2022,3.0,3.0,4.23,90.71,,,"['Analyzing Data or Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.2.a.4', '4.A.4.a.2']"
11-3051.01,Quality Control Systems Managers,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",Core,08/2022,4.0,4.0,4.1,97.22,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3051.01,Quality Control Systems Managers,15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Core,08/2022,3.0,3.0,3.93,95.63,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.01,Quality Control Systems Managers,15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Core,08/2022,3.0,3.0,3.92,96.91,,,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
11-3051.01,Quality Control Systems Managers,15422,Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,Core,08/2022,3.0,3.0,3.84,81.51,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-3051.01,Quality Control Systems Managers,15425,Create and implement inspection and testing criteria or procedures.,Core,08/2022,3.0,3.0,3.78,89.61,,,"['Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.2.b.1', '4.A.2.b.4']"
11-3051.01,Quality Control Systems Managers,15423,"Document testing procedures, methodologies, or criteria.",Core,08/2022,3.0,3.0,3.78,81.94,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.03,Biofuels Production Managers,15456,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",Core,07/2016,5.0,5.0,4.25,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3051.03,Biofuels Production Managers,15458,"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",Core,07/2016,6.0,6.0,4.22,94.54,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.03,Biofuels Production Managers,15461,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Core,07/2016,5.0,5.0,4.22,89.02,,,['Controlling Machines and Processes'],['4.A.3.a.3']
11-3051.03,Biofuels Production Managers,15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",Core,07/2016,3.0,3.0,3.72,77.55,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3051.03,Biofuels Production Managers,15457,Prepare and manage biofuels plant or unit budgets.,Core,07/2016,4.0,4.0,3.56,78.88,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3051.03,Biofuels Production Managers,15459,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",Core,07/2016,3.0,3.0,3.56,78.28,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3051.04,Biomass Power Plant Managers,15471,Review biomass operations performance specifications to ensure compliance with regulatory requirements.,Core,08/2020,5.0,5.0,4.52,100.0,,,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-3051.04,Biomass Power Plant Managers,15470,"Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.",Core,08/2020,5.0,5.0,4.14,93.71,,,"['Monitoring Processes, Materials, or Surroundings', 'Evaluating Information to Determine Compliance with Standards']","['4.A.1.a.2', '4.A.2.a.3']"
11-3051.04,Biomass Power Plant Managers,15474,"Plan and schedule plant activities, such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.",Core,08/2020,5.0,5.0,3.82,92.99,,,"['Scheduling Work and Activities', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.5', '4.A.4.b.4']"
11-3051.04,Biomass Power Plant Managers,15477,Evaluate power production or demand trends to identify opportunities for improved operations.,Core,08/2020,5.0,5.0,3.6,87.68,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3051.04,Biomass Power Plant Managers,15472,"Prepare reports on biomass plant operations, status, maintenance, and other information.",Core,08/2020,3.0,3.0,3.54,99.7,,,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-3051.04,Biomass Power Plant Managers,15464,Manage parts and supply inventories for biomass plants.,Core,08/2020,5.0,5.0,3.4,91.95,,,['Monitoring and Controlling Resources'],['4.A.4.c.3']
11-3051.04,Biomass Power Plant Managers,15465,"Monitor and operate communications systems, such as mobile radios.",Core,08/2020,5.0,5.0,3.29,80.67,,,"['Monitoring Processes, Materials, or Surroundings', 'Controlling Machines and Processes']","['4.A.1.a.2', '4.A.3.a.3']"
11-3051.04,Biomass Power Plant Managers,15466,Compile and record operational data on forms or in log books.,Supplemental,08/2020,5.0,5.0,3.93,65.8,,,"['Processing Information', 'Documenting/Recording Information']","['4.A.2.a.2', '4.A.3.b.6']"
11-3051.04,Biomass Power Plant Managers,15479,"Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators.",Supplemental,08/2020,5.0,5.0,3.79,66.66,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.06,Hydroelectric Production Managers,15512,"Maintain records of hydroelectric facility operations, maintenance, or repairs.",Core,07/2016,5.0,5.0,4.16,98.54,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3051.06,Hydroelectric Production Managers,15508,Plan or coordinate hydroelectric production operations to meet customer requirements.,Core,07/2016,5.0,5.0,4.09,80.3,,,"['Thinking Creatively', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.2', '4.A.4.b.4']"
11-3051.06,Hydroelectric Production Managers,15518,"Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.",Core,07/2016,5.0,5.0,4.07,86.02,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3051.06,Hydroelectric Production Managers,15517,Create or enforce hydrostation voltage schedules.,Supplemental,07/2016,5.0,5.0,3.67,40.1,,,['Scheduling Work and Activities'],['4.A.2.b.5']
11-3061.00,Purchasing Managers,1021,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Core,08/2023,4.0,4.0,4.53,100.0,150630.0,81240.0,"['Getting Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.1.a.1', '4.A.4.a.2']"
11-3061.00,Purchasing Managers,1033,Prepare bid awards requiring board approval.,Core,08/2023,3.0,3.0,4.22,94.74,150630.0,81240.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3061.00,Purchasing Managers,1025,Review purchase order claims and contracts for conformance to company policy.,Core,08/2023,3.0,3.0,4.18,89.47,150630.0,81240.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-3061.00,Purchasing Managers,1031,"Review, evaluate, and approve specifications for issuing and awarding bids.",Core,08/2023,4.0,4.0,4.18,89.47,150630.0,81240.0,"['Processing Information', 'Making Decisions and Solving Problems']","['4.A.2.a.2', '4.A.2.b.1']"
11-3061.00,Purchasing Managers,1035,Administer online purchasing systems.,Core,08/2023,3.0,3.0,4.13,78.95,150630.0,81240.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3061.00,Purchasing Managers,1022,Prepare and process requisitions and purchase orders for supplies and equipment.,Core,08/2023,5.0,5.0,4.12,84.21,150630.0,81240.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3061.00,Purchasing Managers,1026,Analyze market and delivery systems to assess present and future material availability.,Core,08/2023,3.0,3.0,4.05,100.0,150630.0,81240.0,"['Analyzing Data or Information', 'Making Decisions and Solving Problems']","['4.A.2.a.4', '4.A.2.b.1']"
11-3061.00,Purchasing Managers,1020,Maintain records of goods ordered and received.,Core,08/2023,3.0,3.0,4.0,94.74,150630.0,81240.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3071.04,Supply Chain Managers,20942,"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",Core,07/2017,3.0,3.0,4.24,100.0,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
11-3071.04,Supply Chain Managers,20943,"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",Core,07/2017,5.0,5.0,4.2,95.24,,,['Monitoring and Controlling Resources'],['4.A.4.c.3']
11-3071.04,Supply Chain Managers,15680,Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.,Core,07/2017,4.0,4.0,4.11,90.48,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
11-3071.04,Supply Chain Managers,15700,"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.",Core,07/2017,3.0,3.0,4.1,100.0,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-3071.04,Supply Chain Managers,15696,"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",Core,07/2017,3.0,3.0,4.06,85.71,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3071.04,Supply Chain Managers,15697,Analyze information about supplier performance or procurement program success.,Core,07/2017,3.0,3.0,4.0,90.48,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3071.04,Supply Chain Managers,20945,Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.,Core,07/2017,3.0,3.0,3.95,100.0,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3071.04,Supply Chain Managers,20946,Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.,Core,07/2017,3.0,3.0,3.68,90.48,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3071.04,Supply Chain Managers,15691,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",Core,07/2017,3.0,3.0,3.39,85.71,,,['Documenting/Recording Information'],['4.A.3.b.6']
11-3111.00,Compensation and Benefits Managers,3267,"Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",Core,08/2023,3.0,3.0,4.71,100.0,156230.0,20070.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3121.00,Human Resources Managers,985,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",Core,08/2018,3.0,3.0,4.17,100.0,160480.0,215520.0,['Interpreting the Meaning of Information for Others'],['4.A.4.a.1']
11-3121.00,Human Resources Managers,982,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Core,08/2018,3.0,3.0,4.04,95.83,160480.0,215520.0,"['Guiding, Directing, and Motivating Subordinates', 'Staffing Organizational Units']","['4.A.4.b.4', '4.A.4.c.2']"
11-3121.00,Human Resources Managers,994,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Core,08/2018,3.0,3.0,4.04,100.0,160480.0,215520.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-3121.00,Human Resources Managers,1004,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",Core,08/2018,3.0,3.0,3.64,91.67,160480.0,215520.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-3121.00,Human Resources Managers,993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Core,08/2018,3.0,3.0,3.57,95.83,160480.0,215520.0,"['Processing Information', 'Documenting/Recording Information']","['4.A.2.a.2', '4.A.3.b.6']"
11-3121.00,Human Resources Managers,1002,"Develop, administer, and evaluate applicant tests.",Core,08/2018,3.0,3.0,3.25,83.33,160480.0,215520.0,['Staffing Organizational Units'],['4.A.4.c.2']
11-3131.00,Training and Development Managers,1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",Core,08/2024,4.0,4.0,4.36,100.0,140590.0,44960.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3131.00,Training and Development Managers,1013,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",Core,08/2024,3.0,3.0,4.08,96.43,140590.0,44960.0,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']"
11-9033.00,"Education Administrators, Postsecondary",5236,"Plan, administer, and control budgets, maintain financial records, and produce financial reports.",Core,08/2018,3.0,3.0,3.84,79.97,124450.0,176420.0,"['Documenting/Recording Information', 'Guiding, Directing, and Motivating Subordinates']","['4.A.3.b.6', '4.A.4.b.4']"
11-9041.00,Architectural and Engineering Managers,20171,"Direct, review, or approve project design changes.",Core,08/2020,4.0,4.0,4.0,97.69,175710.0,210340.0,"['Judging the Qualities of Objects, Services, or People', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.a.1', '4.A.4.b.4']"
11-9041.00,Architectural and Engineering Managers,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,08/2020,4.0,4.0,3.4,88.56,175710.0,210340.0,"['Judging the Qualities of Objects, Services, or People', 'Analyzing Data or Information']","['4.A.2.a.1', '4.A.2.a.4']"
11-9041.00,Architectural and Engineering Managers,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,08/2020,3.0,3.0,3.33,98.69,175710.0,210340.0,"['Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.2.b.1', '4.A.2.b.4']"
11-9041.00,Architectural and Engineering Managers,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,08/2020,3.0,3.0,3.14,97.89,175710.0,210340.0,"['Making Decisions and Solving Problems', 'Documenting/Recording Information', 'Monitoring and Controlling Resources']","['4.A.2.b.1', '4.A.3.b.6', '4.A.4.c.3']"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15574,"Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.",Core,07/2014,5.0,5.0,4.1,85.3,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15578,"Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.",Core,07/2014,5.0,5.0,3.97,87.35,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15567,"Prepare, or oversee the preparation of, experimental plans for biofuels research or development.",Core,07/2014,3.0,3.0,3.92,92.87,,,['Thinking Creatively'],['4.A.2.b.2']
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15564,Develop computational tools or approaches to improve biofuels research and development activities.,Supplemental,07/2014,3.0,3.0,3.37,51.58,,,['Developing Objectives and Strategies'],['4.A.2.b.4']
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,08/2022,5.0,5.0,4.31,92.86,137730.0,565840.0,"['Thinking Creatively', 'Documenting/Recording Information']","['4.A.2.b.2', '4.A.3.b.6']"
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,08/2022,3.0,3.0,4.16,89.29,137730.0,565840.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,08/2022,5.0,5.0,4.11,100.0,137730.0,565840.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,08/2022,3.0,3.0,3.83,82.14,137730.0,565840.0,"['Monitoring Processes, Materials, or Surroundings', 'Analyzing Data or Information']","['4.A.1.a.2', '4.A.2.a.4']"
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,08/2022,3.0,3.0,3.78,96.43,137730.0,565840.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-9121.00,Natural Sciences Managers,7207,"Design or coordinate successive phases of problem analysis, solution proposals, or testing.",Core,08/2021,3.0,3.0,4.23,96.82,173500.0,100870.0,"['Developing Objectives and Strategies', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.4', '4.A.4.b.4']"
11-9121.00,Natural Sciences Managers,7208,"Review project activities and prepare and review research, testing, or operational reports.",Core,08/2021,5.0,5.0,4.09,100.0,173500.0,100870.0,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']"
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,08/2021,4.0,4.0,4.49,84.74,,,['Scheduling Work and Activities'],['4.A.2.b.5']
