Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
5673,"Business Teachers, Postsecondary",Collaborate with colleagues to address teaching and research issues.,BlackCat,2025/3/25,2,4,2,5,5,4
5671,"Business Teachers, Postsecondary",Advise students on academic and vocational curricula and career issues.,BlackCat,2025/3/25,2,3,1,4,5,4
20058,"Business Teachers, Postsecondary",Develop and maintain course Web sites.,BlackCat,2025/3/25,3,3,2,4,4,3
22409,Librarians and Media Collections Specialists,"Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources.",BlackCat,2025/3/25,5,2,1,2,3,1
22411,Librarians and Media Collections Specialists,"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.",BlackCat,2025/3/25,4,2,1,3,4,2
22417,Librarians and Media Collections Specialists,"Respond to customer complaints, taking action as necessary.",BlackCat,2025/3/25,4,2,2,3,4,2
22420,Librarians and Media Collections Specialists,Locate unusual or unique information in response to specific requests.,BlackCat,2025/3/25,3,3,2,3,4,3
22425,Librarians and Media Collections Specialists,"Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, Web pages, electronic pathfinders, software programs, and online tutorials.",BlackCat,2025/3/25,4,2,2,5,2,2
22427,Librarians and Media Collections Specialists,"Compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.",BlackCat,2025/3/25,4,2,1,4,2,2
22430,Librarians and Media Collections Specialists,Arrange for interlibrary loans of materials not available in a particular library.,BlackCat,2025/3/25,4,2,1,4,2,2
284,Art Directors,"Formulate basic layout design or presentation approach and specify material details, such as style and size of type, photographs, graphics, animation, video, and sound.",BlackCat,2025/3/25,2,4,1,5,5,4
286,Art Directors,"Manage own accounts and projects, working within budget and scheduling requirements.",BlackCat,2025/3/25,2,4,3,5,5,4
288,Art Directors,Present final layouts to clients for approval.,BlackCat,2025/3/26,1,4,1,5,4,5
285,Art Directors,"Review and approve art materials, copy materials, and proofs of printed copy developed by staff members.",BlackCat,2025/3/26,2,4,1,5,2,4
292,Art Directors,Review illustrative material to determine if it conforms to standards and specifications.,BlackCat,2025/3/26,2,4,1,5,4,4
20242,Art Directors,"Research current trends and new technology, such as printing production techniques, computer software, and design trends.",BlackCat,2025/3/26,1,5,1,5,5,5
295,Art Directors,"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing.",BlackCat,2025/3/26,1,5,1,4,5,5
300,Graphic Designers,"Determine size and arrangement of illustrative material and copy, and select style and size of type.",BlackCat,2025/3/26,3,2,1,5,2,3
299,Graphic Designers,"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",BlackCat,2025/3/26,3,3,1,5,4,3
306,Graphic Designers,"Develop graphics and layouts for product illustrations, company logos, and Web sites.",BlackCat,2025/3/26,2,4,1,4,4,4
301,Graphic Designers,Use computer software to generate new images.,BlackCat,2025/3/26,4,4,1,4,5,2
304,Graphic Designers,"Review final layouts and suggest improvements, as needed.",BlackCat,2025/3/26,3,2,1,4,3,3
15228,Graphic Designers,"Maintain archive of images, photos, or previous work products.",BlackCat,2025/3/26,4,2,1,5,2,2
308,Graphic Designers,"Prepare illustrations or rough sketches of material, discussing them with clients or supervisors and making necessary changes.",BlackCat,2025/3/26,2,4,1,4,5,4
303,Graphic Designers,"Draw and print charts, graphs, illustrations, and other artwork, using computer.",BlackCat,2025/3/26,2,4,1,4,4,4
307,Graphic Designers,Key information into computer equipment to create layouts for client or supervisor.,BlackCat,2025/3/26,4,2,1,4,2,2
15229,Graphic Designers,Research new software or design concepts.,BlackCat,2025/3/26,4,2,2,5,2,2
309,Graphic Designers,"Study illustrations and photographs to plan presentation of materials, products, or services.",BlackCat,2025/3/26,4,2,1,4,2,2
22522,Producers and Directors,"Research production topics using the internet, video archives, and other informational sources.",BlackCat,2025/3/26,4,2,1,5,3,2
22523,Producers and Directors,"Review film, recordings, or rehearsals to ensure conformance to production and broadcast standards.",BlackCat,2025/3/26,2,4,2,3,5,4
22532,Producers and Directors,"Perform management activities, such as budgeting, scheduling, planning, and marketing.",BlackCat,2025/3/26,2,4,3,3,4,4
22527,Producers and Directors,Conduct meetings with staff to discuss production progress and to ensure production objectives are attained.,BlackCat,2025/3/26,4,4,3,3,5,2
22528,Producers and Directors,"Compile scripts, program notes, and other material related to productions.",BlackCat,2025/3/26,2,5,2,4,5,4
22539,Producers and Directors,Write and submit proposals to bid on contracts for projects.,BlackCat,2025/3/26,2,4,3,4,4,4
22533,Producers and Directors,Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,BlackCat,2025/3/26,2,4,3,3,5,4
22535,Producers and Directors,Cut and edit film or tape to integrate component parts into desired sequences.,BlackCat,2025/3/26,2,3,2,5,4,4
22537,Producers and Directors,Review film daily to check on work in progress and to plan for future filming.,BlackCat,2025/3/26,2,3,3,5,4,4
22529,Producers and Directors,"Perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters.",BlackCat,2025/3/26,1,5,3,5,5,5
3897,Media Technical Directors/Managers,Observe pictures through monitors and direct camera and video staff concerning shading and composition.,BlackCat,2025/3/26,1,5,3,5,5,5
3896,Media Technical Directors/Managers,Monitor broadcasts to ensure that programs conform to station or network policies and regulations.,BlackCat,2025/3/26,2,2,2,5,3,4
3906,Media Technical Directors/Managers,Collaborate with promotions directors to produce on-air station promotions.,BlackCat,2025/3/28,2,4,2,4,4,4
3900,Media Technical Directors/Managers,Schedule use of studio and editing facilities for producers and engineering and maintenance staff.,BlackCat,2025/3/28,3,3,3,4,4,3
3894,Media Technical Directors/Managers,"Direct technical aspects of newscasts and other productions, checking and switching between video sources and taking responsibility for the on-air product, including camera shots and graphics.",BlackCat,2025/3/28,3,3,2,4,3,3
3905,Media Technical Directors/Managers,"Set up and execute video transitions and special effects, such as fades, dissolves, cuts, keys, and supers, using computers to manipulate pictures as necessary.",BlackCat,2025/3/28,3,3,2,4,3,3
22623,"News Analysts, Reporters, and Journalists","Write commentaries, columns, or scripts, using computers.",BlackCat,2025/3/28,4,2,3,3,3,2
22626,"News Analysts, Reporters, and Journalists",Analyze and interpret news and information received from various sources to broadcast the information.,BlackCat,2025/3/28,3,3,3,3,4,3
22628,"News Analysts, Reporters, and Journalists",Research a story's background information to provide complete and accurate information.,BlackCat,2025/3/28,4,2,3,4,3,2
22631,"News Analysts, Reporters, and Journalists","Select material most pertinent to presentation, and organize this material into appropriate formats.",BlackCat,2025/3/28,4,3,2,4,2,2
22635,"News Analysts, Reporters, and Journalists",Revise work to meet editorial approval or to fit time or space requirements.,BlackCat,2025/3/28,4,2,3,4,4,2
22636,"News Analysts, Reporters, and Journalists",Review and evaluate notes taken about news events to isolate pertinent facts and details.,BlackCat,2025/3/28,4,2,3,4,2,2
22638,"News Analysts, Reporters, and Journalists","Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.",BlackCat,2025/3/28,4,2,3,4,3,2
22642,"News Analysts, Reporters, and Journalists","Check reference materials, such as books, news files, or public records, to obtain relevant facts.",BlackCat,2025/3/28,4,2,4,4,3,2
2509,"Bookkeeping, Accounting, and Auditing Clerks","Match order forms with invoices, and record the necessary information.",BrownFox,2025/4/1,5,1,1,1,1,1
22648,"News Analysts, Reporters, and Journalists","Develop ideas or material for columns or commentaries by analyzing and interpreting news, current issues, or personal experiences.",BlackCat,2025/3/28,4,2,4,4,4,2
1764,Public Relations Specialists,Respond to requests for information from the media or designate an appropriate spokesperson or information source.,BlackCat,2025/3/28,3,3,3,4,5,3
23951,Public Relations Specialists,Post and update content on the company's Web site and social media outlets.,BlackCat,2025/3/28,3,3,3,4,5,3
20554,Public Relations Specialists,Write press releases or other media communications to promote clients.,BlackCat,2025/3/28,3,3,3,4,4,3
1769,Public Relations Specialists,"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",BlackCat,2025/3/28,2,3,4,4,5,4
20557,Public Relations Specialists,"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",BlackCat,2025/3/28,2,4,4,4,4,4
1777,Editors,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",BlackCat,2025/3/28,3,2,2,4,3,3
1780,Editors,"Verify facts, dates, and statistics, using standard reference sources.",BlackCat,2025/3/28,4,2,3,4,3,2
1786,Editors,"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",BlackCat,2025/3/28,2,4,3,4,5,4
1782,Editors,"Develop story or content ideas, considering reader or audience appeal.",BlackCat,2025/3/28,2,4,2,4,5,4
1776,Editors,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",BlackCat,2025/3/28,2,2,2,5,4,4
1783,Editors,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",BlackCat,2025/3/28,2,3,3,5,4,4
21000,Editors,"Write text, such as stories, articles, editorials, or newsletters.",BlackCat,2025/3/28,3,2,2,4,4,3
1781,Editors,Review and approve proofs submitted by composing room prior to publication production.,BlackCat,2025/3/28,3,3,2,4,3,3
1785,Editors,"Assign topics, events and stories to individual writers or reporters for coverage.",BlackCat,2025/3/28,2,4,2,4,5,4
1778,Editors,"Allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",BlackCat,2025/3/28,2,4,2,4,5,4
3966,Technical Writers,"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.",BlackCat,2025/3/28,3,4,2,4,3,3
3967,Technical Writers,Maintain records and files of work and revisions.,BlackCat,2025/3/28,4,2,2,4,2,2
3968,Technical Writers,"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",BlackCat,2025/3/28,3,4,2,3,5,3
3971,Technical Writers,"Select photographs, drawings, sketches, diagrams, and charts to illustrate material.",BlackCat,2025/3/28,2,4,2,4,4,4
20243,Technical Writers,Develop or maintain online help documentation.,BlackCat,2025/3/28,3,2,2,4,4,3
3975,Technical Writers,"Arrange for typing, duplication, and distribution of material.",BlackCat,2025/3/28,2,4,2,4,5,4
3977,Technical Writers,Analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,BlackCat,2025/3/28,4,2,2,4,3,2
17234,Radiologists,Participate in continuing education activities to maintain and develop expertise.,BrownFox,2025/3/31,3,4,4,5,4,3
9739,"Eligibility Interviewers, Government Programs","Keep records of assigned cases, and prepare required reports.",BrownFox,2025/3/31,4,2,2,4,3,2
4621,Telemarketers,"Obtain customer information such as name, address, and payment method, and enter orders into computers.",BrownFox,2025/3/31,5,1,1,1,1,1
2486,"Bookkeeping, Accounting, and Auditing Clerks","Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",BrownFox,2025/3/31,3,3,3,3,3,3
11241,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Maintain customer records, using automated systems.",BrownFox,2025/3/31,5,1,1,1,1,1
4618,Telemarketers,"Deliver prepared sales talks, reading from scripts that describe products or services, to persuade potential customers to purchase a product or service or to make a donation.",BrownFox,2025/3/31,4,3,3,3,5,3
2524,Payroll and Timekeeping Clerks,Complete time sheets showing employees' arrival and departure times.,BrownFox,2025/3/31,5,1,1,1,1,1
23197,"Securities, Commodities, and Financial Services Sales Agents",Complete sales order tickets and submit for processing of client-requested transactions.,BrownFox,2025/3/31,5,1,1,1,2,2
2522,Payroll and Timekeeping Clerks,Keep informed about changes in tax and deduction laws that apply to the payroll process.,BrownFox,2025/3/31,5,2,2,4,4,2
2582,Customer Service Representatives,Refer unresolved customer grievances to designated departments for further investigation.,BrownFox,2025/4/1,3,3,3,3,5,3
18561,"Bookkeeping, Accounting, and Auditing Clerks",Prepare and process payroll information.,BrownFox,2025/4/1,5,1,1,1,1,1
2585,Customer Service Representatives,"Obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills.",BrownFox,2025/4/1,5,1,1,1,1,1
4623,Telemarketers,Adjust sales scripts to better target the needs and interests of specific individuals.,BrownFox,2025/4/1,5,1,1,1,3,1
21926,Architectural and Civil Drafters,"Draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data.",PurpleBear,2025/4/2,2,1,4,4,3,4
1420,Mechanical Engineers,"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.",PurpleBear,2025/4/2,2,3,3,4,2,5
19648,"Energy Engineers, Except Wind and Solar",Write or install energy management routines for building automation systems.,PurpleBear,2025/4/2,2,4,1,3,4,2
21917,Architectural and Civil Drafters,"Produce drawings, using computer-assisted drafting systems (CAD) or drafting machines, or by hand, using compasses, dividers, protractors, triangles, and other drafting devices.",PurpleBear,2025/4/2,4,2,2,2,2,2
21920,Architectural and Civil Drafters,"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",PurpleBear,2025/4/2,3,1,5,4,3,3
20858,"Energy Engineers, Except Wind and Solar",Verify energy bills and meter readings.,PurpleBear,2025/4/2,3,3,2,2,2,3
3590,Petroleum Engineers,Assign work to staff to obtain maximum utilization of personnel.,PurpleBear,2025/4/2,2,1,3,3,5,3
1346,Aerospace Engineers,Maintain records of performance reports for future reference.,PurpleBear,2025/4/2,4,2,3,2,2,2
1340,Aerospace Engineers,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",PurpleBear,2025/4/2,4,1,3,4,2,3
21924,Architectural and Civil Drafters,"Determine the order of work and method of presentation, such as orthographic or isometric drawing.",PurpleBear,2025/4/4,4,1,2,3,2,3
21919,Architectural and Civil Drafters,"Coordinate structural, electrical, and mechanical designs and determine a method of presentation to graphically represent building plans.",PurpleBear,2025/4/4,3,1,2,3,4,4
3591,Petroleum Engineers,Interpret drilling and testing information for personnel.,PurpleBear,2025/4/4,3,1,5,3,4,4
22086,Mechanical Engineering Technologists and Technicians,"Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation.",PurpleBear,2025/4/4,3,2,3,3,5,4
18157,"Energy Engineers, Except Wind and Solar",Promote awareness or use of alternative or renewable energy sources.,PurpleBear,2025/4/4,4,2,2,3,5,3
21928,Architectural and Civil Drafters,Check dimensions of materials to be used and assign numbers to lists of materials.,PurpleBear,2025/4/4,5,1,1,2,1,1
21921,Architectural and Civil Drafters,"Draw maps, diagrams, and profiles, using cross-sections and surveys, to represent elevations, topographical contours, subsurface formations, and structures.",PurpleBear,2025/4/4,4,1,1,3,3,2
20492,Civil Engineers,"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",PurpleBear,2025/4/4,3,1,3,3,1,3
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,YellowZebra,2025/4/5,3,1,2,4,2,2
21049,Computer Programmers,Develop Web sites.,YellowZebra,2025/4/5,4,1,2,3,2,2
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,YellowZebra,2025/4/5,2,1,3,4,4,4
5317,Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",YellowZebra,2025/4/5,4,1,3,4,1,2
